type,title,description,annual_savings_usd,confidence,effort,payback_months,action,org_id,status,created_at
tariff_optimization,Switch to Time-of-Use Rate Schedule D,Load profile analysis shows 68% off-peak usage. Switching from flat rate reduces blended cost by $0.018/kWh.,412000,0.94,low,1,Contact utility to change rate schedule. No capital required.,arcelor_steel,open,2026-03-28T16:07:08.347905
peak_shaving,Pre-cool HVAC during off-peak window (2–4 AM),"Demand charge of $12.80/kW accounts for 31% of bill. Shifting 480 kW reduces peak demand charge $6,144/month.",73728,0.88,medium,8,Reprogram BMS setpoints. Requires BAS upgrade ~$18K.,arcelor_steel,open,2026-03-28T16:07:08.347905
procurement,Lock forward energy contracts — Q2 price spike forecast,LSTM model forecasts 14% price increase Q2. Lock 30% load at current $41.20/MWh vs projected $47/MWh.,290000,0.81,low,1,Engage energy broker to execute 25 MW forward contract by April 5.,arcelor_steel,open,2026-03-28T16:07:08.347905
demand_response,Enroll in PJM Standard Demand Response Program,"Grid operator DR events 4x/month. Curtailing 1,200 kW earns $14,400/event in incentive payments.",172800,0.92,medium,3,Submit DR enrollment form to PJM by end of month.,arcelor_steel,open,2026-03-28T16:07:08.347905
load_shifting,Shift electric arc furnace to 11 PM – 3 AM slot,RL optimization agent identified $0.026/kWh differential. Carbon intensity also 18% lower in this window.,504000,0.86,high,6,Requires production schedule coordination + BMS automation.,arcelor_steel,open,2026-03-28T16:07:08.347905
renewable,Add 8% renewable energy via PPA wind contract,Current renewable mix 38%. Adding 8% wind PPA at $28/MWh vs grid $41.20/MWh reduces cost and Scope 2 emissions.,94500,0.9,medium,12,Issue RFP to wind developers. 15-year PPA at $28/MWh fixed.,arcelor_steel,open,2026-03-28T16:07:08.347905
tariff_optimization,Switch to Time-of-Use Rate Schedule D,Load profile analysis shows 68% off-peak usage. Switching from flat rate reduces blended cost by $0.018/kWh.,412000,0.94,low,1,Contact utility to change rate schedule. No capital required.,megamart_retail,open,2026-03-28T16:07:08.575025
peak_shaving,Pre-cool HVAC during off-peak window (2–4 AM),"Demand charge of $12.80/kW accounts for 31% of bill. Shifting 480 kW reduces peak demand charge $6,144/month.",73728,0.88,medium,8,Reprogram BMS setpoints. Requires BAS upgrade ~$18K.,megamart_retail,open,2026-03-28T16:07:08.575025
procurement,Lock forward energy contracts — Q2 price spike forecast,LSTM model forecasts 14% price increase Q2. Lock 30% load at current $41.20/MWh vs projected $47/MWh.,290000,0.81,low,1,Engage energy broker to execute 25 MW forward contract by April 5.,megamart_retail,open,2026-03-28T16:07:08.575025
demand_response,Enroll in PJM Standard Demand Response Program,"Grid operator DR events 4x/month. Curtailing 1,200 kW earns $14,400/event in incentive payments.",172800,0.92,medium,3,Submit DR enrollment form to PJM by end of month.,megamart_retail,open,2026-03-28T16:07:08.575025
